dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-salt,sales-incoterms,fdhg,42,task_root,0,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.597,0.597,0.0937962777666599,0.4542553532119271,,,1.4102894127370815,0.7279774531024531,,,
rel-salt,sales-incoterms,fdhg,43,task_root,0,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.597,0.597,0.0937962777666599,0.4542553532119271,,,1.4101757927553098,0.7276371753246753,,,
rel-salt,sales-incoterms,fdhg,44,task_root,0,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.597,0.597,0.0937962777666599,0.4542553532119271,,,1.410371276777205,0.7279774531024531,,,
rel-salt,sales-office,dfs,41,task_root,0,results/rel-salt_sales-office_tabpfn/dfs/seed41/metrics.csv,0.9995,0.9995,0.5,0.9995,,,0.0017761960857516,0.99975,,,
rel-salt,sales-office,dfs,42,task_root,0,results/rel-salt_sales-office_tabpfn/dfs/seed42/metrics.csv,0.9995,0.9995,0.5,0.9995,,,0.0018701334431024,0.99975,,,
rel-salt,sales-office,dfs,43,task_root,0,results/rel-salt_sales-office_tabpfn/dfs/seed43/metrics.csv,0.9995,0.9995,0.5,0.9995,,,0.0018087499967731,0.99975,,,
rel-salt,sales-office,dfs,44,task_root,0,results/rel-salt_sales-office_tabpfn/dfs/seed44/metrics.csv,0.999,0.999,0.2,0.999,,,0.002054926724836,0.9993333333333332,,,
rel-salt,sales-office,fdhg,41,task_root,0,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed41/metrics.csv,1.0,1.0,1.0,1.0,,,0.0016552969345187,1.0,,,
rel-salt,sales-office,fdhg,42,task_root,0,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.9995,0.9995,0.5,0.9995,,,0.0014301657815584,0.99975,,,
rel-salt,sales-office,fdhg,43,task_root,0,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.9995,0.9995,0.5,0.9995,,,0.0016700611993777,0.99975,,,
rel-salt,sales-office,fdhg,44,task_root,0,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed44/metrics.csv,1.0,1.0,1.0,1.0,,,0.0015111256739058,1.0,,,
rel-salt,sales-payterms,dfs,41,task_root,0,results/rel-salt_sales-payterms_tabpfn/dfs/seed41/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.7210722575537027,0.4639534223416302,,,
rel-salt,sales-payterms,dfs,42,task_root,0,results/rel-salt_sales-payterms_tabpfn/dfs/seed42/metrics.csv,0.2826413206603301,0.2826413206603301,0.0058762350494019,0.1245650126155121,,,2.72075244560488,0.4637099592780769,,,
rel-salt,sales-payterms,dfs,43,task_root,0,results/rel-salt_sales-payterms_tabpfn/dfs/seed43/metrics.csv,0.2831415707853927,0.2831415707853927,0.007148369036781,0.1255664712500426,,,2.7205740959527103,0.4639646613807728,,,
